ts," 0.013057258965488289]""","[0.0, 0.0, 0.0]",0.0,0.0.1,0.0.2,0.0.3
"[0.08399788371052858, -0.028216947279089657, 0.0023352374619751504]","[-0.933009831008122, -0.07974994178654854, 0.018359958532980763]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08399788371052858, -0.028216947279089657, 0.002353597420508131]","[-0.933009831008122, -0.07974994178654854, 0.018359958532980763]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08306487387952045, -0.028216947279089657, 0.002353597420508131]","[-0.933009831008122, -0.07974994178654854, 0.018359958532980763]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08306487387952045, -0.028297803797974478, 0.002353597420508131]","[-0.918407851361186, -0.0808565188848212, 0.018473180722550827]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08306487387952045, -0.028297803797974478, 0.002372070601230682]","[-0.918407851361186, -0.0808565188848212, 0.018473180722550827]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08214646602815927, -0.028297803797974478, 0.002372070601230682]","[-0.918407851361186, -0.0808565188848212, 0.018473180722550827]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08214646602815927, -0.02837972112336701, 0.002372070601230682]","[-0.9036206558408755, -0.08191732539253316, 0.01858571206208963]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08214646602815927, -0.02837972112336701, 0.0023906563132927716]","[-0.9036206558408755, -0.08191732539253316, 0.01858571206208963]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08124284537231839, -0.02837972112336701, 0.0023906563132927716]","[-0.9036206558408755, -0.08191732539253316, 0.01858571206208963]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08124284537231839, -0.0284626530576426, 0.0023906563132927716]","[-0.8888881850703245, -0.08293193427558881, 0.01869769579107344]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08124284537231839, -0.0284626530576426, 0.002409354009083845]","[-0.8888881850703245, -0.08293193427558881, 0.01869769579107344]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08035395718724807, -0.0284626530576426, 0.002409354009083845]","[-0.8888881850703245, -0.08293193427558881, 0.01869769579107344]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08035395718724807, -0.028546552958777106, 0.002409354009083845]","[-0.874427993148838, -0.08389990113450568, 0.01880877428967311]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08035395718724807, -0.028546552958777106, 0.002428162783373518]","[-0.874427993148838, -0.08389990113450568, 0.01880877428967311]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.07947952919409923, -0.028546552958777106, 0.002428162783373518]","[-0.874427993148838, -0.08389990113450568, 0.01880877428967311]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.07947952919409923, -0.02863137326431475, 0.002428162783373518]","[-0.8604404675540134, -0.08482030553764314, 0.018917921671926085]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.07947952919409923, -0.02863137326431475, 0.0024470807050454443]","[-0.8604404675540134, -0.08482030553764314, 0.018917921671926085]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.07861908872654522, -0.02863137326431475, 0.0024470807050454443]","[-0.8604404675540134, -0.08482030553764314, 0.018917921671926085]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.07861908872654522, -0.02871706736003765, 0.0024470807050454443]","[-0.8470220585679311, -0.08569409572290257, 0.019026712433685943]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.07861908872654522, -0.02871706736003765, 0.00246610741747913]","[-0.8470220585679311, -0.08569409572290257, 0.019026712433685943]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.07777206666797729, -0.02871706736003765, 0.00246610741747913]","[-0.8470220585679311, -0.08569409572290257, 0.019026712433685943]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.07777206666797729, -0.02880358720575351, 0.00246610741747913]","[-0.83345833823259, -0.08651984571585863, 0.019134750171253753]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.07777206666797729, -0.02880358720575351, 0.002485242167650384]","[-0.83345833823259, -0.08651984571585863, 0.019134750171253753]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.0769386083297447, -0.02880358720575351, 0.002485242167650384]","[-0.83345833823259, -0.08651984571585863, 0.019134750171253753]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.0769386083297447, -0.028890878841634896, 0.002485242167650384]","[-0.8199492082685972, -0.0872916358813855, 0.019241811923097034]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.0769386083297447, -0.028890878841634896, 0.002504483979573481]","[-0.8199492082685972, -0.0872916358813855, 0.019241811923097034]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.0761186591214761, -0.028890878841634896, 0.002504483979573481]","[-0.8199492082685972, -0.0872916358813855, 0.019241811923097034]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.0761186591214761, -0.028978889350347026, 0.002504483979573481]","[-0.8067105548458242, -0.08801050871213092, 0.019347168155252163]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.0761186591214761, -0.028978889350347026, 0.002523831147728733]","[-0.8067105548458242, -0.08801050871213092, 0.019347168155252163]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.07531194856663027, -0.028978889350347026, 0.002523831147728733]","[-0.8067105548458242, -0.08801050871213092, 0.019347168155252163]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.07531194856663027, -0.029067572372237182, 0.002523831147728733]","[-0.7938863979249366, -0.08868302189015548, 0.01945242292237647]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.07531194856663027, -0.029067572372237182, 0.0025432835706511096]","[-0.7938863979249366, -0.08868302189015548, 0.01945242292237647]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.07451806216870534, -0.029067572372237182, 0.0025432835706511096]","[-0.7938863979249366, -0.08868302189015548, 0.01945242292237647]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.07451806216870534, -0.029156879102548133, 0.0025432835706511096]","[-0.7816207176142287, -0.0893067303109514, 0.019556605022243243]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.07451806216870534, -0.029156879102548133, 0.002562840175673353]","[-0.7816207176142287, -0.0893067303109514, 0.019556605022243243]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.07373644145109111, -0.029156879102548133, 0.002562840175673353]","[-0.7816207176142287, -0.0893067303109514, 0.019556605022243243]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.07373644145109111, -0.02924675926431697, 0.002562840175673353]","[-0.7700021678566649, -0.08988016176883842, 0.019680371254647035]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.07373644145109111, -0.02924675926431697, 0.002582520546928]","[-0.7700021678566649, -0.08988016176883842, 0.019680371254647035]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.07296643928323444, -0.02924675926431697, 0.002582520546928]","[-0.7700021678566649, -0.08988016176883842, 0.019680371254647035]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.07296643928323444, -0.029337158012854945, 0.002582520546928]","[-0.7583455976108988, -0.09039874853797314, 0.019800323671197422]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.07296643928323444, -0.029337158012854945, 0.0026023208705991973]","[-0.7583455976108988, -0.09039874853797314, 0.019800323671197422]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.07220809368562355, -0.029337158012854945, 0.0026023208705991973]","[-0.7583455976108988, -0.09039874853797314, 0.019800323671197422]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.07220809368562355, -0.029428021671258384, 0.0026023208705991973]","[-0.7468154098425189, -0.09086365840343946, 0.01991721980104796]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
